Name	Set	Imagefile	Type of card	Play Cost	Color	Power 	Weapon	Skill	Status	Level Requirement	Range
Lelouch The Conqueror	Alpha		Leader	-	colorless	20	Staff	"Tactical Retreat: Activate: You may move this unit  (1V)Level 1: Follow the Plan: Activate: When one of your troops attack, you may move that troop (3V)Level 2: I AM ZERO: All: This card gains 20 power (6V)Level 3: I command you!!: Discard 1 card: When Attacking: You may select one enemy units to attack another troop in their respective zone. "	Infantry	1= 1 Valor 2= 4 Valor 3= 6 Valor 	N/A
Ice King	Alpha		Leader	-	colorless	20	Sword	"Skill 1: When attacking: gain +10 power  (1V)Level 1: Skill 2: Discard 1 card Activate: Select one troop with less power, move them (3V)Level 2: skill 3: All: This card gains 20 power (5V)Level 3: skill 4: When Attacking: If this unit is being blocked +20 power "	Cavalier	1= 1 Valor 2= 3 Valor 3= 5 Valor 	N/A
Swordman 1	Alpha		Troop	1	colorless	20	Sword	N/A	Infantry	N/A	N/A
Wizard 1	Alpha		Troop	1	colorless	10	Staff	N/A	Infantry	N/A	N/A
Swordman 2	Alpha		Troop	2	colorless	20	Sword	Skill A: When attacking: this card gains 10 power for this attack for this turn	Infantry	N/A	N/A
Wizad 2	Alpha		Troop	2	colorless	10	Staff	Skill B: When attacking: this card gains 10 power for this attack for this turn	Infantry	N/A	N/A
Swordman 3	Alpha		Troop	2	colorless	10	Sword	Skill C: On play: you may select one weapon from the trash, add it to hand	Infantry	N/A	N/A
Wizard 3	Alpha		Troop	2	colorless	0	Staff	Skill D: On play: you may select one weapon from the trash, add it to hand	Infantry	N/A	N/A
Swordman 4	Alpha		Troop	3	colorless	30	Sword	N/A	Infantry	N/A	N/A
Wizard 4	Alpha		Troop	3	colorless	20	Staff	N/A	Infantry	N/A	N/A
Swordman 5	Alpha		Troop	4	colorless	40	Sword	Skill E: When attacking: Draw one card	Infantry	N/A	N/A
Wizard 5	Alpha		Troop	4	colorless	30	Staff	Skill F: When attacking: Draw one card	Infantry	N/A	N/A
Swordman 6	Alpha		Troop	5	colorless	40	Sword	Skill G: When attacking: If this unit defeats an enemy in combat, you may select another ally and untap it Skill H: Flip 1 Bond: Activate: When an ally has been untapped by an effect pay the cost, +10 power to that ally for the turn	Infantry	N/A	N/A
Wizard 6	Alpha		Troop	5	colorless	30	Staff	Skill I: On play: You may select 1 weapon from your trash, add it to your hand. Then if you added a card to the hand, select 1 weapon in your hand and equip to an ally	Infantry	N/A	N/A
Swordman 7	Alpha		Troop	6	colorless	50	Sword	Skill J: When attacking: Drouble orb break Skill K: When attacking: If this card does not defeat its target in battle, discard 1 card and untap. If this the card discarded was a weapon card, at the end of your opponents turn the weapon discarded by this effect is return to you hand	Infantry	N/A	N/A
Wizard 7	Alpha		Troop	6	colorless	40	Staff	Skill L: On play: you may select 1 weapon equipped  to an enemy troop, Destroy that weapon Skill M: Activate: When a weapon is destroyed, Draw 1 card HAKI!!!: Flip 3 bonds: Activate: Select 1 weapon equipped to an enemy, destroy that weapon	Infantry	N/A	N/A
CC	Alpha		Troop	2	colorless	0	Staff	Undying Witch: All: If you have a "Lelouch" unit on your board, This unit cannot be defeated in battle Accomplice: All: When this unit would be defeated in battle, instead it is tapped until then end of owner's turn Order of the Geass: Activate: When this card untaps, Gain 1 Valor 	Infantry	N/A	N/A
Nunnally	Alpha		Troop	1	colorless	0	N/A	Big Brother: Tap this unit: Activate: Draw 1 card then discard 1 card NUNNALLY!!!!!!!!!!!!!: Activate: When a "Lelouch" gets attacked, +20	Infantry	N/A	N/A
Ice Queen	Alpha		Troop	4	colorless	40	Sword	My Love!!: Activate: If an enemy unit blocks and is defeated, you may untap this unit	Infantry	N/A	N/A
